file,recipe_name,source_line,parsed_name,quantity_for_10,upload_quantity_1_serving,upload_unit,item_code,mapped_ingredient_name,match_status
Coconut vegetable Philippines recipe 10 persons.docx,Coconut vegetable Philippines,"6 cups yardlong beans (sitaw or snake beans), cut into 2-inch lengths",yardlong beans 2-inch lengths,1200,120,g,PHMIS-014,yardlong beans 2-inch lengths,generated_missing
Coconut vegetable Philippines recipe 10 persons.docx,Coconut vegetable Philippines,"3 tablespoons fish sauce (patis), or soy sauce for a vegan version",fish sauce soy sauce vegan version,0.045,0.0045,l,100782,TAFGA MAKATI SOY SAUCE 12/750ML,mapped
Coconut vegetable Philippines recipe 10 persons.docx,Coconut vegetable Philippines,9 cups fresh malunggay (moringa) leaves or spinach,malunggay leaves spinach,2160,216,g,PR000061,SPINACH (BDL),mapped
Ginataang Manok Philippines recipe 10 persons.docx,Ginataang Manok Philippines,"5 lbs (about 2.3 kg) bone-in, skin-on chicken pieces (thighs and drumsticks work best)",bone-in skin-on chicken,2267.9619,226.8,g,205101,TANMIAH FRESH CHICKEN 1/900G,mapped
Ginataang Manok Philippines recipe 10 persons.docx,Ginataang Manok Philippines,4 cans (14 oz each) coconut milk (or about 6 cups fresh coconut milk),coconut milk,0.62,0.062,l,174476,AFCO COCONUT MILK POWDER 12/300G,mapped
Ginataang Manok Philippines recipe 10 persons.docx,Ginataang Manok Philippines,2 cups water or chicken stock,water chicken stock,0.48,0.048,l,224894,(TAFGA) NOVA WATER 24/0.55-0.6LTR,mapped
Ginataang Manok Philippines recipe 10 persons.docx,Ginataang Manok Philippines,⅓ cup cooking oil,cooking oil,0.08,0.008,l,221871,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,mapped
Ginataang Manok Philippines recipe 10 persons.docx,Ginataang Manok Philippines,"2 large onions, chopped",onions,300,30,g,PR000020,DRY ONION (LOCAL),mapped
Ginataang Manok Philippines recipe 10 persons.docx,Ginataang Manok Philippines,"8 cloves garlic, minced",garlic,24,2.4,g,PR000018,GARLIC (CHINA),mapped
Ginataang Manok Philippines recipe 10 persons.docx,Ginataang Manok Philippines,"½ cup fresh ginger, sliced into thin strips or julienned",ginger thin strips,120,12,g,PR000019,GINGER (CHINA),mapped
Ginataang Manok Philippines recipe 10 persons.docx,Ginataang Manok Philippines,"3 to 4 tbsp fish sauce (patis), adjusted to taste",fish sauce adjusted,0.0525,0.0052,l,273104,A-AFFCO FISH SAUCE 12/700ML,mapped
Ginataang Manok Philippines recipe 10 persons.docx,Ginataang Manok Philippines,1 tsp ground black pepper,black pepper,2.7,0.27,g,185836,A-TAFGA FRESHLY PEPPER BLACK PWDR 6/16Z,mapped
Ginataang Manok Philippines recipe 10 persons.docx,Ginataang Manok Philippines,"2 medium green papaya or chayote squash, peeled and sliced into wedges (or substitute with 2 large cubed potatoes)",green papaya chayote squash wedges,900,90,g,PHMIS-018,green papaya chayote squash wedges,generated_missing
Ginataang Manok Philippines recipe 10 persons.docx,Ginataang Manok Philippines,4 to 6 pieces finger chilies (siling haba) or Thai bird's eye chilies (siling labuyo) for heat,finger chilies Thai bird s eye chilies,25,2.5,g,PR000009,GREEN PEPPER (LBN),mapped
Ginataang Manok Philippines recipe 10 persons.docx,Ginataang Manok Philippines,2 cups fresh malunggay (moringa) leaves or spinach,malunggay leaves spinach,480,48,g,PR000061,SPINACH (BDL),mapped
Mackerel  Tilapia  milk  fry fish Philippines recipe 10 persons.docx,Mackerel / Tilapia / milk fry fish Philippines,"10–12 medium whole fish170g/ person, cleaned and scaled",Mackerel (Alumahan or Bangus/Galunggong alternative),170,17,g,134884,TAFGA INDIAN MACKEREL FISH ORIGINAL 1/KG,mapped
Mackerel  Tilapia  milk  fry fish Philippines recipe 10 persons.docx,Mackerel / Tilapia / milk fry fish Philippines,1.5 to 2 tablespoons (for rubbing),Salt,31.5,3.15,g,166780,TAFGA REHAN SALT IODIZED 24/700G,mapped
Mackerel  Tilapia  milk  fry fish Philippines recipe 10 persons.docx,Mackerel / Tilapia / milk fry fish Philippines,1 teaspoon,Ground Black Pepper,2.7,0.27,g,185836,A-TAFGA FRESHLY PEPPER BLACK PWDR 6/16Z,mapped
Mackerel  Tilapia  milk  fry fish Philippines recipe 10 persons.docx,Mackerel / Tilapia / milk fry fish Philippines,"6 cloves, crushed (optional, for frying aroma)",Garlic,18,1.8,g,PR000018,GARLIC (CHINA),mapped
Mackerel  Tilapia  milk  fry fish Philippines recipe 10 persons.docx,Mackerel / Tilapia / milk fry fish Philippines,1 to 1.5 cups (for shallow or deep frying),Cooking Oil,0.3,0.03,l,221871,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,mapped
Mackerel  Tilapia  milk  fry fish Philippines recipe 10 persons.docx,Mackerel / Tilapia / milk fry fish Philippines,"2 tablespoons (optional, for marination/serving)",Calamansi or Lime Juice,30,3,g,PR000090,LEMON (AFRICAN/TURKEY),mapped
Mung Bean Soup Philippines recipe 10 persons.docx,Mung Bean Soup Philippines,"2.5 cups dried mung beans (monggo), rinsed and drained",mung beans rinsed drained,500,50,g,PHMIS-005,mung beans rinsed drained,generated_missing
Mung Bean Soup Philippines recipe 10 persons.docx,Mung Bean Soup Philippines,12.5 cups water (plus extra if you prefer a thinner soup),water,3,0.3,l,224894,(TAFGA) NOVA WATER 24/0.55-0.6LTR,mapped
Mung Bean Soup Philippines recipe 10 persons.docx,Mung Bean Soup Philippines,"500g beef, cut into small bite-sized pieces",beef bite-sized,500,50,g,141396,BEEF INDIAN B/LES FOREQUARTER FROZEN 1KG,mapped
Mung Bean Soup Philippines recipe 10 persons.docx,Mung Bean Soup Philippines,3 tablespoons cooking oil,cooking oil,0.045,0.0045,l,221871,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,mapped
Mung Bean Soup Philippines recipe 10 persons.docx,Mung Bean Soup Philippines,"8 to 10 cloves garlic, minced",garlic,27,2.7,g,PR000018,GARLIC (CHINA),mapped
Mung Bean Soup Philippines recipe 10 persons.docx,Mung Bean Soup Philippines,"2 large onions, chopped",onions,300,30,g,PR000020,DRY ONION (LOCAL),mapped
Mung Bean Soup Philippines recipe 10 persons.docx,Mung Bean Soup Philippines,"4 medium tomatoes, diced",tomatoes,480,48,g,PR000005,TOMATO (ADY),mapped
Mung Bean Soup Philippines recipe 10 persons.docx,Mung Bean Soup Philippines,"2 tablespoons fish sauce (patis), or adjust to taste",fish sauce,0.03,0.003,l,273104,A-AFFCO FISH SAUCE 12/700ML,mapped
Mung Bean Soup Philippines recipe 10 persons.docx,Mung Bean Soup Philippines,"2 pieces beef or chicken bouillon cubes (optional, for extra depth)",beef chicken bouillon cubes,40,4,g,102426,TAFGA MAGGI CUBES CHICKEN 24/24/20G,mapped
Mung Bean Soup Philippines recipe 10 persons.docx,Mung Bean Soup Philippines,"4 to 5 handfuls fresh spinach, malunggay (moringa), or sili leaves",spinach malunggay sili leaves,450,45,g,PR000061,SPINACH (BDL),mapped
Mung Bean Soup Philippines recipe 10 persons.docx,Mung Bean Soup Philippines,"1.5 cups crushed beef cracklings (optional, plus extra for topping)",beef cracklings,360,36,g,141396,BEEF INDIAN B/LES FOREQUARTER FROZEN 1KG,mapped
Nilaga soup Philippines recipe 10 persons.docx,Nilaga soup Philippines,"4.5 lbs (2 kg) beef chuck, brisket, or short ribs, cut into large chunks",beef chuck brisket short ribs chunks,2041.1657,204.12,g,141396,BEEF INDIAN B/LES FOREQUARTER FROZEN 1KG,mapped
Nilaga soup Philippines recipe 10 persons.docx,Nilaga soup Philippines,16 cups water (or enough to submerge the beef),water,3.84,0.384,l,224894,(TAFGA) NOVA WATER 24/0.55-0.6LTR,mapped
Nilaga soup Philippines recipe 10 persons.docx,Nilaga soup Philippines,"2 medium yellow onions, halved or quartered",yellow onions halved quartered,300,30,g,PR000020,DRY ONION (LOCAL),mapped
Nilaga soup Philippines recipe 10 persons.docx,Nilaga soup Philippines,1.5 tbsp whole black peppercorns,black peppercorns,12,1.2,g,GR001017,SHAN BLACK PEPPER WHOLE 10/1KG,mapped
Nilaga soup Philippines recipe 10 persons.docx,Nilaga soup Philippines,"4 medium potatoes, peeled and halved",potatoes halved,720,72,g,PR000022,POTATO (LOCAL),mapped
Nilaga soup Philippines recipe 10 persons.docx,Nilaga soup Philippines,"4 ears sweet yellow corn, cut into thirds",sweet yellow corn thirds,720,72,g,199838,A-(TAFGA) AFFCO SWEET CORN 6/3KG,mapped
Nilaga soup Philippines recipe 10 persons.docx,Nilaga soup Philippines,"1 small head green cabbage, cut into wedges",head green cabbage wedges,100,10,g,PR000002,CABBAGE (LOCAL),mapped
Nilaga soup Philippines recipe 10 persons.docx,Nilaga soup Philippines,1 bunch bok choy or pechay (optional substitute for part of the cabbage),bunch bok choy pechay,80,8,g,PR000061,SPINACH (BDL),mapped
Nilaga soup Philippines recipe 10 persons.docx,Nilaga soup Philippines,"4 tbsp fish sauce (patis), plus extra for serving",fish sauce plus extra,0.06,0.006,l,273104,A-AFFCO FISH SAUCE 12/700ML,mapped
Nilaga soup Philippines recipe 10 persons.docx,Nilaga soup Philippines,"2 cubes beef bouillon (optional, for richer flavor)",cubes beef bouillon,40,4,g,102426,TAFGA MAGGI CUBES CHICKEN 24/24/20G,mapped
Pak Bet Philippines recipe 10 persons.docx,Pak Bet Philippines,"1 lb (450g), cut into small cubes or thin strips",cubes thin strips,453.5924,45.36,g,102426,TAFGA MAGGI CUBES CHICKEN 24/24/20G,mapped
Pak Bet Philippines recipe 10 persons.docx,Pak Bet Philippines,3 tablespoons,Cooking oil,0.045,0.0045,l,221871,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,mapped
Pak Bet Philippines recipe 10 persons.docx,Pak Bet Philippines,"12 cloves, minced or crushed",Garlic,36,3.6,g,PR000018,GARLIC (CHINA),mapped
Pak Bet Philippines recipe 10 persons.docx,Pak Bet Philippines,"2 medium, chopped",Onions,300,30,g,PR000020,DRY ONION (LOCAL),mapped
Pak Bet Philippines recipe 10 persons.docx,Pak Bet Philippines,"4 medium, chopped",Tomatoes,480,48,g,PR000005,TOMATO (ADY),mapped
Pak Bet Philippines recipe 10 persons.docx,Pak Bet Philippines,1/2 cup (sautéed),Shrimp paste (bagoong alamang),0.12,0.012,l,110196,A-(TAFGA) AFFCO OYSTER SAUCE 12/600ML,mapped
Pak Bet Philippines recipe 10 persons.docx,Pak Bet Philippines,2 cups,Water,0.48,0.048,l,224894,(TAFGA) NOVA WATER 24/0.55-0.6LTR,mapped
Pak Bet Philippines recipe 10 persons.docx,Pak Bet Philippines,"2.5 cups, cubed (about half a small squash)",Calabasa (squash),600,60,g,PHMIS-013,Calabasa (squash),generated_missing
Pak Bet Philippines recipe 10 persons.docx,Pak Bet Philippines,"2.5 cups, cut into 2-inch lengths",String beans (sitaw),500,50,g,PHMIS-014,String beans (sitaw),generated_missing
Pak Bet Philippines recipe 10 persons.docx,Pak Bet Philippines,"20 pieces, ends trimmed",Okra,240,24,g,404298,A-TAFGA SB OKRA ZERO 20/400G,fuzzy
Pak Bet Philippines recipe 10 persons.docx,Pak Bet Philippines,"2 medium, seeded and sliced",Bitter melon (ampalaya),200,20,g,PHMIS-006,Bitter melon (ampalaya),generated_missing
Pak Bet Philippines recipe 10 persons.docx,Pak Bet Philippines,"3-4 medium, sliced into thick rounds",Eggplant (talong),175,17.5,g,PR000012,EGGPANT (BIG),mapped
Pancit Mix Philippines recipe 10 persons.docx,Pancit Mix Philippines,16 ounces (450g) dry rice vermicelli noodles (pancit bihon),Noodles,453.5924,45.36,g,402514,A- MAKATI CHINESE NOODLES 30/200G,mapped
Pancit Mix Philippines recipe 10 persons.docx,Pancit Mix Philippines,"1 pound (450g) boneless chicken thighs, cut into small bite-sized pieces",boneless chicken thighs bite-sized,453.5924,45.36,g,205101,TANMIAH FRESH CHICKEN 1/900G,mapped
Pancit Mix Philippines recipe 10 persons.docx,Pancit Mix Philippines,"1/2 pound (225g) beef, thinly sliced (optional, or use all chicken)",beef,226.7962,22.68,g,141396,BEEF INDIAN B/LES FOREQUARTER FROZEN 1KG,mapped
Pancit Mix Philippines recipe 10 persons.docx,Pancit Mix Philippines,1/2 pound (225g) peeled and deveined medium shrimp (optional),deveined shrimp,0.2267962,0.0227,l,110196,A-(TAFGA) AFFCO OYSTER SAUCE 12/600ML,mapped
Pancit Mix Philippines recipe 10 persons.docx,Pancit Mix Philippines,"5 to 6 cloves garlic, minced",garlic,16.5,1.65,g,PR000018,GARLIC (CHINA),mapped
Pancit Mix Philippines recipe 10 persons.docx,Pancit Mix Philippines,"1 large yellow or white onion, thinly sliced",yellow white onion,150,15,g,PR000049,ONION (WHITE),mapped
Pancit Mix Philippines recipe 10 persons.docx,Pancit Mix Philippines,"2 medium carrots, peeled and cut into thin matchsticks (julienne)",carrots thin matchsticks,200,20,g,PR000026,CARROT (AUSTALIA/CHINA),mapped
Pancit Mix Philippines recipe 10 persons.docx,Pancit Mix Philippines,3 to 4 cups shredded green cabbage or Chinese cabbage (wombok),shredded green cabbage Chinese cabbage,840,84,g,PR000002,CABBAGE (LOCAL),mapped
Pancit Mix Philippines recipe 10 persons.docx,Pancit Mix Philippines,"1 cup snow peas or sugar snap peas, trimmed",snow peas sugar snap peas trimmed,200,20,g,176065,AL OSRA SUGAR FINE 10/2KG,mapped
Pancit Mix Philippines recipe 10 persons.docx,Pancit Mix Philippines,5 cups chicken stock or water,chicken stock water,1.2,0.12,l,224894,(TAFGA) NOVA WATER 24/0.55-0.6LTR,mapped
Pancit Mix Philippines recipe 10 persons.docx,Pancit Mix Philippines,1/2 cup regular soy sauce,soy sauce,0.12,0.012,l,100782,TAFGA MAKATI SOY SAUCE 12/750ML,mapped
Pancit Mix Philippines recipe 10 persons.docx,Pancit Mix Philippines,3 tablespoons oyster sauce,oyster sauce,0.045,0.0045,l,110196,A-(TAFGA) AFFCO OYSTER SAUCE 12/600ML,mapped
Pancit Mix Philippines recipe 10 persons.docx,Pancit Mix Philippines,1 tablespoon dark soy sauce (for rich color),dark soy sauce,0.015,0.0015,l,100782,TAFGA MAKATI SOY SAUCE 12/750ML,mapped
Pancit Mix Philippines recipe 10 persons.docx,Pancit Mix Philippines,1 teaspoon ground black pepper,black pepper,2.7,0.27,g,185836,A-TAFGA FRESHLY PEPPER BLACK PWDR 6/16Z,mapped
Pancit Mix Philippines recipe 10 persons.docx,Pancit Mix Philippines,"2 stalk green onions (spring onions), chopped",green onions,300,30,g,PR000020,DRY ONION (LOCAL),mapped
Pesang soup Philippines recipe 10 persons.docx,Pesang soup Philippines,"2 kg firm white fish (such as Maya-Maya / Red Snapper, Tilapia, or Grouper), cut into serving pieces",firm white fish,2000,200,g,144669,TAFGA WHITE / HAMOUR FISH FILLET 1/1KG,mapped
Pesang soup Philippines recipe 10 persons.docx,Pesang soup Philippines,2 tbsp salt (for rubbing on the fish),salt,36,3.6,g,166780,TAFGA REHAN SALT IODIZED 24/700G,mapped
Pesang soup Philippines recipe 10 persons.docx,Pesang soup Philippines,4-6 tbsp cooking oil (for pan-frying),-6 cooking oil,0.075,0.0075,l,221871,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,mapped
Pesang soup Philippines recipe 10 persons.docx,Pesang soup Philippines,"½ cup fresh ginger, sliced and heavily bruised/pounded (the star flavor)",ginger heavily bruised/pounded,120,12,g,PR000019,GINGER (CHINA),mapped
Pesang soup Philippines recipe 10 persons.docx,Pesang soup Philippines,"2 medium red onions, quartered",red onions quartered,300,30,g,PR000020,DRY ONION (LOCAL),mapped
Pesang soup Philippines recipe 10 persons.docx,Pesang soup Philippines,"6 cloves garlic, minced",garlic,18,1.8,g,PR000018,GARLIC (CHINA),mapped
Pesang soup Philippines recipe 10 persons.docx,Pesang soup Philippines,10-12 cups water (or hugas-bigas / second rinse of rice washing for a richer broth),-12 water,2.64,0.264,l,224894,(TAFGA) NOVA WATER 24/0.55-0.6LTR,mapped
Pesang soup Philippines recipe 10 persons.docx,Pesang soup Philippines,5 tbsp fish sauce (patis),fish sauce,0.075,0.0075,l,273104,A-AFFCO FISH SAUCE 12/700ML,mapped
Pesang soup Philippines recipe 10 persons.docx,Pesang soup Philippines,1 tsp whole black peppercorns,black peppercorns,2.7,0.27,g,GR001017,SHAN BLACK PEPPER WHOLE 10/1KG,mapped
Pesang soup Philippines recipe 10 persons.docx,Pesang soup Philippines,"4 medium potatoes, peeled and quartered",potatoes quartered,720,72,g,PR000022,POTATO (LOCAL),mapped
Pesang soup Philippines recipe 10 persons.docx,Pesang soup Philippines,"1 medium head of cabbage, sliced into quarters",head cabbage quarters,100,10,g,PR000002,CABBAGE (LOCAL),mapped
Pesang soup Philippines recipe 10 persons.docx,Pesang soup Philippines,"4-5 bunches of Pechay (Bok Choy), roots trimmed and leaves separated",-5 Pechay roots trimmed leaves separated,450,45,g,PR000061,SPINACH (BDL),mapped
Pesang soup Philippines recipe 10 persons.docx,Pesang soup Philippines,"1 cup green onions (scallions), cut into 2-inch pieces",green onions 2-inch,240,24,g,PR000020,DRY ONION (LOCAL),mapped
SPAGHETTI PHILIPPINES recipe 10 persons.docx,SPAGHETTI PHILIPPINES,1 kg (2.2 lbs) or two 1-pound packages dried spaghetti noodles,two 1- packages spaghetti noodles,1000,100,g,386762,GOODY PASTA #20 SPAGHETTI 24/450,mapped
SPAGHETTI PHILIPPINES recipe 10 persons.docx,SPAGHETTI PHILIPPINES,2 tbsp cooking oil,cooking oil,0.03,0.003,l,221871,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,mapped
SPAGHETTI PHILIPPINES recipe 10 persons.docx,SPAGHETTI PHILIPPINES,"8 to 10 red hot dogs or frankfurters, sliced diagonally",red hot dogs frankfurters diagonally,405,40.5,g,182833,A-TAFGA AMERICANA CHICKEN FRANK 24/340G,mapped
SPAGHETTI PHILIPPINES recipe 10 persons.docx,SPAGHETTI PHILIPPINES,"2 large yellow onions, finely chopped",yellow onions finely,300,30,g,PR000020,DRY ONION (LOCAL),mapped
SPAGHETTI PHILIPPINES recipe 10 persons.docx,SPAGHETTI PHILIPPINES,"6 cloves garlic, minced",garlic,18,1.8,g,PR000018,GARLIC (CHINA),mapped
SPAGHETTI PHILIPPINES recipe 10 persons.docx,SPAGHETTI PHILIPPINES,"1 large red bell pepper, chopped (optional)",red bell pepper,150,15,g,PR000009,GREEN PEPPER (LBN),mapped
SPAGHETTI PHILIPPINES recipe 10 persons.docx,SPAGHETTI PHILIPPINES,1 kg (2.2 lbs) ground beef or ground beef (or a mix),beef beef,1000,100,g,141396,BEEF INDIAN B/LES FOREQUARTER FROZEN 1KG,mapped
SPAGHETTI PHILIPPINES recipe 10 persons.docx,SPAGHETTI PHILIPPINES,5 tbsp tomato paste,tomato paste,75,7.5,g,103023,TAFGA LUNA TOMATO PASTE 24/400G,mapped
SPAGHETTI PHILIPPINES recipe 10 persons.docx,SPAGHETTI PHILIPPINES,1.5 cups sweet banana ketchup,sweet banana ketchup,0.36,0.036,l,161290,A-TFGA AFFCO TOMATO KETCHUP 4/5KG,mapped
SPAGHETTI PHILIPPINES recipe 10 persons.docx,SPAGHETTI PHILIPPINES,3 to 4 cups (about 1.4 kg) tomato sauce or passata,tomato sauce passata,0.84,0.084,l,381887,A-TAFGA GOODY WHOLE PEELED TOMATO 6/#10,mapped
SPAGHETTI PHILIPPINES recipe 10 persons.docx,SPAGHETTI PHILIPPINES,1 cup beef or chicken stock / water,beef chicken stock / water,0.24,0.024,l,224894,(TAFGA) NOVA WATER 24/0.55-0.6LTR,mapped
SPAGHETTI PHILIPPINES recipe 10 persons.docx,SPAGHETTI PHILIPPINES,3 tbsp soy sauce,soy sauce,0.045,0.0045,l,100782,TAFGA MAKATI SOY SAUCE 12/750ML,mapped
SPAGHETTI PHILIPPINES recipe 10 persons.docx,SPAGHETTI PHILIPPINES,2 to 3 tbsp white or brown sugar (adjust to taste for sweetness),white brown sugar,31.25,3.13,g,176065,AL OSRA SUGAR FINE 10/2KG,mapped
SPAGHETTI PHILIPPINES recipe 10 persons.docx,SPAGHETTI PHILIPPINES,1.5 cups grated cheddar cheese or quick-melt cheese for topping,grated cheddar cheese quick-melt cheese topping,360,36,g,171301,TAFGA SLICED CHEESE 9/800G,mapped
Sardine Philippines recipe 10 persons.docx,Sardine Philippines,6 to 7 cans (155g each) Ligo or preferred canned sardines in tomato sauce,Ligo preferred canned sardines in tomato sauce,1007.5,100.75,g,153319,MAWASIM SARDINES TOM/SCE 100/155G,mapped
Sardine Philippines recipe 10 persons.docx,Sardine Philippines,3 packs (approx. 50g–60g each) misua (miswa) noodles,misua noodles,150,15,g,402514,A- MAKATI CHINESE NOODLES 30/200G,mapped
Sardine Philippines recipe 10 persons.docx,Sardine Philippines,5 tablespoons cooking oil,cooking oil,0.075,0.0075,l,221871,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,mapped
Sardine Philippines recipe 10 persons.docx,Sardine Philippines,"6 cloves garlic, minced",garlic,18,1.8,g,PR000018,GARLIC (CHINA),mapped
Sardine Philippines recipe 10 persons.docx,Sardine Philippines,"2 medium onions, chopped",onions,300,30,g,PR000020,DRY ONION (LOCAL),mapped
Sardine Philippines recipe 10 persons.docx,Sardine Philippines,"4 medium ripe tomatoes, chopped",ripe tomatoes,480,48,g,PR000005,TOMATO (ADY),mapped
Sardine Philippines recipe 10 persons.docx,Sardine Philippines,6 cups water (add more if you prefer a soupier consistency),water,1.44,0.144,l,224894,(TAFGA) NOVA WATER 24/0.55-0.6LTR,mapped
Sardine Philippines recipe 10 persons.docx,Sardine Philippines,2 tablespoons fish sauce (patis) or salt to taste,fish sauce salt,0.03,0.003,l,273104,A-AFFCO FISH SAUCE 12/700ML,mapped
Sardine Philippines recipe 10 persons.docx,Sardine Philippines,1 teaspoon ground black pepper,black pepper,2.7,0.27,g,185836,A-TAFGA FRESHLY PEPPER BLACK PWDR 6/16Z,mapped
Sardine Philippines recipe 10 persons.docx,Sardine Philippines,"2 bundles of pechay or spinach (optional, for extra greens)",bundles pechay spinach,160,16,g,PR000061,SPINACH (BDL),mapped
Sardine Sotanghon Philippines recipe 10 persons.docx,Sardine Sotanghon Philippines,5 large cans (approx. 425g each) of sardines in tomato sauce,sardines in tomato sauce,425,42.5,g,153319,MAWASIM SARDINES TOM/SCE 100/155G,mapped
Sardine Sotanghon Philippines recipe 10 persons.docx,Sardine Sotanghon Philippines,250–300 grams sotanghon (vermicelli) noodles,300 sotanghon noodles,275,27.5,g,402514,A- MAKATI CHINESE NOODLES 30/200G,mapped
Sardine Sotanghon Philippines recipe 10 persons.docx,Sardine Sotanghon Philippines,"8–10 cloves garlic, minced",10 garlic,27,2.7,g,PR000018,GARLIC (CHINA),mapped
Sardine Sotanghon Philippines recipe 10 persons.docx,Sardine Sotanghon Philippines,"2 medium onions, chopped",onions,300,30,g,PR000020,DRY ONION (LOCAL),mapped
Sardine Sotanghon Philippines recipe 10 persons.docx,Sardine Sotanghon Philippines,"1 thumb-sized ginger, minced (optional, for extra warmth)",ginger,20,2,g,PR000019,GINGER (CHINA),mapped
Sardine Sotanghon Philippines recipe 10 persons.docx,Sardine Sotanghon Philippines,"3 bunches pechay (bok choy) or Chinese cabbage, washed and chopped",pechay Chinese cabbage washed,300,30,g,PR000061,SPINACH (BDL),mapped
Sardine Sotanghon Philippines recipe 10 persons.docx,Sardine Sotanghon Philippines,8 to 10 cups water (adjust depending on how much soup you prefer),water,2.16,0.216,l,224894,(TAFGA) NOVA WATER 24/0.55-0.6LTR,mapped
Sardine Sotanghon Philippines recipe 10 persons.docx,Sardine Sotanghon Philippines,4 tablespoons cooking oil,cooking oil,0.06,0.006,l,221871,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,mapped
Scramble Egg Philippines recipe 10 persons.docx,Scramble Egg Philippines,20 large eggs,eggs,20,2,pieces,142110,SAEDCO FRESH EGGS MEDIUM 12/30 CT,mapped
Scramble Egg Philippines recipe 10 persons.docx,Scramble Egg Philippines,"3 medium onions, diced or sliced into thin strips",onions thin strips,450,45,g,PR000020,DRY ONION (LOCAL),mapped
Scramble Egg Philippines recipe 10 persons.docx,Scramble Egg Philippines,"8 to 10 cloves garlic, minced",garlic,27,2.7,g,PR000018,GARLIC (CHINA),mapped
Scramble Egg Philippines recipe 10 persons.docx,Scramble Egg Philippines,"5 Roma tomatoes, diced",Roma tomatoes,600,60,g,PR000005,TOMATO (ADY),mapped
Scramble Egg Philippines recipe 10 persons.docx,Scramble Egg Philippines,5 tablespoons cooking oil or butter,cooking oil butter,0.075,0.0075,l,221871,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,mapped
Scramble Egg Philippines recipe 10 persons.docx,Scramble Egg Philippines,2 1/2 teaspoons salt (or adjust to taste),1/2 salt,3,0.3,g,166780,TAFGA REHAN SALT IODIZED 24/700G,mapped
Scramble Egg Philippines recipe 10 persons.docx,Scramble Egg Philippines,1 1/4 teaspoons ground black pepper,1/4 black pepper,0.675,0.07,g,185836,A-TAFGA FRESHLY PEPPER BLACK PWDR 6/16Z,mapped
Scramble Egg Philippines recipe 10 persons.docx,Scramble Egg Philippines,2 1/2 tablespoons fish sauce (patis) or soy sauce for extra local flavor (optional),1/2 fish sauce soy sauce extra local flavor,0.0075,0.0008,l,100782,TAFGA MAKATI SOY SAUCE 12/750ML,mapped
Sinigang soup Philippines recipe 10 persons.docx,Sinigang soup Philippines,"4 lbs beef ribs, cut into serving pieces",beef,1814.3695,181.44,g,141396,BEEF INDIAN B/LES FOREQUARTER FROZEN 1KG,mapped
Sinigang soup Philippines recipe 10 persons.docx,Sinigang soup Philippines,16 cups (or about 4 liters),Water,3.84,0.384,l,224894,(TAFGA) NOVA WATER 24/0.55-0.6LTR,mapped
Sinigang soup Philippines recipe 10 persons.docx,Sinigang soup Philippines,2 large packs (20g–25g each) or 50g total of Tamarind Soup Mix (Sinigang sa Sampaloc mix),50g total Tamarind Soup Mix,20,2,g,PHMIS-007,50g total Tamarind Soup Mix,generated_missing
Sinigang soup Philippines recipe 10 persons.docx,Sinigang soup Philippines,"2 medium onions, quartered",onions quartered,300,30,g,PR000020,DRY ONION (LOCAL),mapped
Sinigang soup Philippines recipe 10 persons.docx,Sinigang soup Philippines,"4 medium tomatoes, quartered",tomatoes quartered,480,48,g,PR000005,TOMATO (ADY),mapped
Sinigang soup Philippines recipe 10 persons.docx,Sinigang soup Philippines,"4 cloves garlic, minced (optional)",garlic,12,1.2,g,PR000018,GARLIC (CHINA),mapped
Sinigang soup Philippines recipe 10 persons.docx,Sinigang soup Philippines,"4 pieces taro root (gabi), peeled and halved (helps thicken the broth)",taro root halved,600,60,g,PHMIS-016,taro root halved,generated_missing
Sinigang soup Philippines recipe 10 persons.docx,Sinigang soup Philippines,"2 medium daikon radish (labanos), sliced",daikon radish,200,20,g,PHMIS-008,daikon radish,generated_missing
Sinigang soup Philippines recipe 10 persons.docx,Sinigang soup Philippines,20–25 pieces okra,25 okra,270,27,g,404298,A-TAFGA SB OKRA ZERO 20/400G,fuzzy
Sinigang soup Philippines recipe 10 persons.docx,Sinigang soup Philippines,"2 to 3 bunches long green beans (sitaw), cut into 2-inch pieces",long green beans 2-inch,250,25,g,PR000031,GREEN BEANS,fuzzy
Sinigang soup Philippines recipe 10 persons.docx,Sinigang soup Philippines,"3 to 4 Chinese eggplants, sliced diagonally",Chinese eggplants diagonally,175,17.5,g,PR000012,EGGPANT (BIG),mapped
Sinigang soup Philippines recipe 10 persons.docx,Sinigang soup Philippines,3 pieces long green chili peppers (siling pansigang),long green chili peppers,450,45,g,PR000009,GREEN PEPPER (LBN),mapped
